mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
10	10	10	10a	113/3	113/3	0.3333333333333333		5/12	5/12	4/4	1	1	1/12		1/8	2/3		3	81	A5	5	136
10	10	10	10a	38	38	0.3333333333333333		1/2	1/2	4/4	1	1	1/12		1/8	2/3		9	75	D#5	5	137
10	10	10	10a	115/3	115/3	0.3333333333333333		7/12	7/12	4/4	1	1	1/12		1/8	2/3		4	76	E5	5	138
10	10	10	10a	116/3	116/3	0.3333333333333333		2/3	2/3	4/4	1	1	1/12		1/8	2/3		12	72	B#4	4	139
10	10	10	10a	39	39	0.3333333333333333		3/4	3/4	4/4	1	1	1/12		1/8	2/3		7	73	C#5	5	140
10	10	10	10a	118/3	118/3	0.3333333333333333		5/6	5/6	4/4	1	1	1/12		1/8	2/3		8	68	G#4	4	141
10	10	10	10a	119/3	119/3	0.3333333333333333		11/12	11/12	4/4	1	1	1/12		1/8	2/3		3	69	A4	4	142
11	11	11	11a	40	40	2.0		0	0	4/4	2	1	1/2		1/2	1		3	33	A1	1	143
12	12	12	12a	44	44	2.0		0	0	4/4	2	2	1/2		1/2	1		2	62	D4	4	157
12	12	12	12a	44	44	1.75		0	0	4/4	1	1	7/16		1/4	7/4		-1	77	F5	5	144
12	12	12	12a	89/2	89/2	0.5		1/8	1/8	4/4	2	1	1/8		1/8	1		-1	65	F4	4	151
12	12	12	12a	89/2	89/2	0.5		1/8	1/8	4/4	2	1	1/8		1/8	1		3	69	A4	4	151
12	12	12	12a	45	45	0.5		1/4	1/4	4/4	2	1	1/8		1/8	1		-1	65	F4	4	152
12	12	12	12a	45	45	0.5		1/4	1/4	4/4	2	1	1/8		1/8	1		3	69	A4	4	152
12	12	12	12a	91/2	91/2	0.5		3/8	3/8	4/4	2	1	1/8		1/8	1		-1	65	F4	4	153
12	12	12	12a	91/2	91/2	0.5		3/8	3/8	4/4	2	1	1/8		1/8	1		3	69	A4	4	153
12	12	12	12a	183/4	183/4	0.125		7/16	7/16	4/4	1	1	1/32		1/32	1		4	76	E5	5	145
12	12	12	12a	367/8	367/8	0.125		15/32	15/32	4/4	1	1	1/32		1/32	1		-1	77	F5	5	146
12	12	12	12a	46	46	2.0		1/2	1/2	4/4	2	2	1/2		1/2	1		2	62	D4	4	158
12	12	12	12a	46	46	0.5		1/2	1/2	4/4	1	1	1/8		1/8	1		1	79	G5	5	147
12	12	12	12a	93/2	93/2	0.5		5/8	5/8	4/4	2	1	1/8		1/8	1		-1	65	F4	4	154
12	12	12	12a	93/2	93/2	0.5		5/8	5/8	4/4	2	1	1/8		1/8	1		3	69	A4	4	154
12	12	12	12a	93/2	93/2	0.5		5/8	5/8	4/4	1	1	1/8		1/8	1		-1	77	F5	5	148
12	12	12	12a	47	47	0.5		3/4	3/4	4/4	2	1	1/8		1/8	1		-1	65	F4	4	155
12	12	12	12a	47	47	0.5		3/4	3/4	4/4	2	1	1/8		1/8	1		3	69	A4	4	155
12	12	12	12a	47	47	0.5		3/4	3/4	4/4	1	1	1/8		1/8	1		4	76	E5	5	149
12	12	12	12a	95/2	95/2	0.5		7/8	7/8	4/4	2	1	1/8		1/8	1		-1	65	F4	4	156
12	12	12	12a	95/2	95/2	0.5		7/8	7/8	4/4	2	1	1/8		1/8	1		3	69	A4	4	156
12	12	12	12a	95/2	95/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		2	74	D5	5	150
13	13	13	13a	48	48	2.0		0	0	4/4	2	2	1/2		1/2	1		4	64	E4	4	169
13	13	13	13a	48	48	1.0		0	0	4/4	1	1	1/4		1/4	1		7	73	C#5	5	159
13	13	13	13a	97/2	97/2	0.5		1/8	1/8	4/4	2	1	1/8		1/8	1		1	67	G4	4	163
13	13	13	13a	97/2	97/2	0.5		1/8	1/8	4/4	2	1	1/8		1/8	1		3	69	A4	4	163
13	13	13	13a	49	49	0.5		1/4	1/4	4/4	2	1	1/8		1/8	1		1	67	G4	4	164
13	13	13	13a	49	49	0.5		1/4	1/4	4/4	2	1	1/8		1/8	1		3	69	A4	4	164
13	13	13	13a	99/2	99/2	0.5		3/8	3/8	4/4	2	1	1/8		1/8	1		1	67	G4	4	165
13	13	13	13a	99/2	99/2	0.5		3/8	3/8	4/4	2	1	1/8		1/8	1		3	69	A4	4	165
13	13	13	13a	199/4	199/4	0.25		7/16	7/16	4/4	1	1	1/16		1/16	1		2	74	D5	5	160
13	13	13	13a	50	50	2.0		1/2	1/2	4/4	2	2	1/2		1/2	1		4	64	E4	4	170
13	13	13	13a	50	50	0.5		1/2	1/2	4/4	1	1	1/8		1/8	1		9	75	D#5	5	161
13	13	13	13a	101/2	101/2	0.5		5/8	5/8	4/4	2	1	1/8		1/8	1		1	67	G4	4	166
13	13	13	13a	101/2	101/2	0.5		5/8	5/8	4/4	2	1	1/8		1/8	1		3	69	A4	4	166
13	13	13	13a	101/2	101/2	0.5		5/8	5/8	4/4	1	1	1/8		1/8	1		4	76	E5	5	162
13	13	13	13a	51	51	0.5		3/4	3/4	4/4	2	1	1/8		1/8	1		1	67	G4	4	167
13	13	13	13a	51	51	0.5		3/4	3/4	4/4	2	1	1/8		1/8	1		3	69	A4	4	167
13	13	13	13a	103/2	103/2	0.5		7/8	7/8	4/4	2	1	1/8		1/8	1		1	67	G4	4	168
13	13	13	13a	103/2	103/2	0.5		7/8	7/8	4/4	2	1	1/8		1/8	1		3	69	A4	4	168
14	14	14	14a	52	52	2.0		0	0	4/4	2	2	1/2		1/2	1		7	61	C#4	4	184
14	14	14	14a	52	52	1.75		0	0	4/4	1	1	7/16		1/4	7/4		1	79	G5	5	171
14	14	14	14a	105/2	105/2	0.5		1/8	1/8	4/4	2	1	1/8		1/8	1		4	64	E4	4	178
14	14	14	14a	105/2	105/2	0.5		1/8	1/8	4/4	2	1	1/8		1/8	1		3	69	A4	4	178
14	14	14	14a	53	53	0.5		1/4	1/4	4/4	2	1	1/8		1/8	1		4	64	E4	4	179
14	14	14	14a	53	53	0.5		1/4	1/4	4/4	2	1	1/8		1/8	1		3	69	A4	4	179
14	14	14	14a	107/2	107/2	0.5		3/8	3/8	4/4	2	1	1/8		1/8	1		4	64	E4	4	180
14	14	14	14a	107/2	107/2	0.5		3/8	3/8	4/4	2	1	1/8		1/8	1		3	69	A4	4	180
14	14	14	14a	215/4	215/4	0.125		7/16	7/16	4/4	1	1	1/32		1/32	1		6	78	F#5	5	172
14	14	14	14a	431/8	431/8	0.125		15/32	15/32	4/4	1	1	1/32		1/32	1		1	79	G5	5	173
14	14	14	14a	54	54	2.0		1/2	1/2	4/4	2	2	1/2		1/2	1		7	61	C#4	4	185
14	14	14	14a	54	54	0.5		1/2	1/2	4/4	1	1	1/8		1/8	1		3	81	A5	5	174
14	14	14	14a	109/2	109/2	0.5		5/8	5/8	4/4	2	1	1/8		1/8	1		4	64	E4	4	181
14	14	14	14a	109/2	109/2	0.5		5/8	5/8	4/4	2	1	1/8		1/8	1		3	69	A4	4	181
14	14	14	14a	109/2	109/2	0.5		5/8	5/8	4/4	1	1	1/8		1/8	1		1	79	G5	5	175
14	14	14	14a	55	55	0.5		3/4	3/4	4/4	2	1	1/8		1/8	1		4	64	E4	4	182
14	14	14	14a	55	55	0.5		3/4	3/4	4/4	2	1	1/8		1/8	1		3	69	A4	4	182
14	14	14	14a	55	55	0.5		3/4	3/4	4/4	1	1	1/8		1/8	1		-1	77	F5	5	176
14	14	14	14a	111/2	111/2	0.5		7/8	7/8	4/4	2	1	1/8		1/8	1		4	64	E4	4	183
14	14	14	14a	111/2	111/2	0.5		7/8	7/8	4/4	2	1	1/8		1/8	1		3	69	A4	4	183
