mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
20	17	38	17a	99	51	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		2	62	D4	4	109
20	17	38	17a	199/2	103/2	0.5	5/8	5/8	3/4	2	2	1/8	1/8	1		0	48	C3	3	117
20	17	38	17a	199/2	103/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		4	64	E4	4	110
21	18	39	18a	100	52	1.0	0	0	3/4	2	2	1/4	1/4	1		0	48	C3	3	124
21	18	39	18a	100	52	2.0	0	0	3/4	2	1	1/2	1/2	1		1	55	G3	3	122
21	18	39	18a	100	52	1.0	0	0	3/4	1	1	1/4	1/4	1		4	64	E4	4	118
21	18	39	18a	101	53	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		2	50	D3	3	125
21	18	39	18a	101	53	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		-1	65	F4	4	119
21	18	39	18a	102	54	0.5	1/2	1/2	3/4	2	2	1/8	1/8	1		5	47	B2	2	126
21	18	39	18a	102	54	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		1	55	G3	3	123
21	18	39	18a	102	54	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		2	74	D5	5	120
21	18	39	18a	205/2	109/2	0.5	5/8	5/8	3/4	2	2	1/8	1/8	1		2	50	D3	3	127
21	18	39	18a	205/2	109/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		5	71	B4	4	121
22	19	40	19a	103	55	1.0	0	0	3/4	2	2	1/4	1/4	1		5	47	B2	2	135
22	19	40	19a	103	55	1.0	0	0	3/4	2	1	1/4	1/4	1		1	55	G3	3	132
22	19	40	19a	103	55	1.0	0	0	3/4	1	1	1/4	1/4	1		-1	65	F4	4	128
22	19	40	19a	104	56	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		5	47	B2	2	136
22	19	40	19a	104	56	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	G3	3	133
22	19	40	19a	104	56	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		-1	65	F4	4	129
22	19	40	19a	105	57	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		5	47	B2	2	137
22	19	40	19a	105	57	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		1	55	G3	3	134
22	19	40	19a	105	57	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		4	64	E4	4	130
22	19	40	19a	211/2	115/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		2	62	D4	4	131
23	20	41	20a	106	58	2.0	0	0	3/4	2	2	1/2	1/2	1		0	48	C3	3	149
23	20	41	20a	106	58	2.0	0	0	3/4	2	1	1/2	1/2	1		1	55	G3	3	144
23	20	41	20a	106	58	1.0	0	0	3/4	1	1	1/4	1/4	1		2	62	D4	4	138
23	20	41	20a	107	59	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		4	64	E4	4	139
23	20	41	20a	108	60	0.25	1/2	1/2	3/4	2	1	1/16	1/16	1		0	60	C4	4	145
23	20	41	20a	108	60	0.25	1/2	1/2	3/4	1	1	1/16	1/16	1		4	76	E5	5	140
23	20	41	20a	433/4	241/4	0.25	9/16	9/16	3/4	2	1	1/16	1/16	1		5	59	B3	3	146
23	20	41	20a	433/4	241/4	0.25	9/16	9/16	3/4	1	1	1/16	1/16	1		2	74	D5	5	141
23	20	41	20a	217/2	121/2	0.25	5/8	5/8	3/4	2	1	1/16	1/16	1		3	57	A3	3	147
